CustomerKey,First Name,Last Name,Full Name,GENDER,EmailAddress,Address,Date FirstPurchase,Phone,Customer City
11000,Jon,Yang,Jon Yang,MALE,jon24@adventure-works.com,3761 N. 14th St,2021-01-19,1 (11) 500 555-0162,Rockhampton
11001,Eugene,Huang,Eugene Huang,MALE,eugene10@adventure-works.com,2243 W St.,2021-01-15,1 (11) 500 555-0110,Seaford
11002,Ruben,Torres,Ruben Torres,MALE,ruben35@adventure-works.com,5844 Linden Land,2021-01-07,1 (11) 500 555-0184,Hobart
11003,Christy,Zhu,Christy Zhu,FEMALE,christy12@adventure-works.com,1825 Village Pl.,2020-12-29,1 (11) 500 555-0162,North Ryde
11004,Elizabeth,Johnson,Elizabeth Johnson,FEMALE,elizabeth5@adventure-works.com,7553 Harness Circle,2021-01-23,1 (11) 500 555-0131,Wollongong
11005,Julio,Ruiz,Julio Ruiz,MALE,julio1@adventure-works.com,7305 Humphrey Drive,2020-12-30,1 (11) 500 555-0151,East Brisbane
11006,Janet,Alvarez,Janet Alvarez,FEMALE,janet9@adventure-works.com,2612 Berry Dr,2021-01-24,1 (11) 500 555-0184,Matraville
11007,Marco,Mehta,Marco Mehta,MALE,marco14@adventure-works.com,942 Brook Street,2021-01-09,1 (11) 500 555-0126,Warrnambool
11008,Rob,Verhoff,Rob Verhoff,FEMALE,rob4@adventure-works.com,624 Peabody Road,2021-01-25,1 (11) 500 555-0164,Bendigo
11009,Shannon,Carlson,Shannon Carlson,MALE,shannon38@adventure-works.com,3839 Northgate Road,2021-01-27,1 (11) 500 555-0110,Hervey Bay
11010,Jacquelyn,Suarez,Jacquelyn Suarez,FEMALE,jacquelyn20@adventure-works.com,7800 Corrinne Court,2021-01-14,1 (11) 500 555-0169,East Brisbane
11011,Curtis,Lu,Curtis Lu,MALE,curtis9@adventure-works.com,1224 Shoenic,2020-12-30,1 (11) 500 555-0117,East Brisbane
11012,Lauren,Walker,Lauren Walker,FEMALE,lauren41@adventure-works.com,4785 Scott Street,2023-03-16,717-555-0164,Bremerton
11013,Ian,Jenkins,Ian Jenkins,MALE,ian47@adventure-works.com,7902 Hudson Ave.,2023-04-13,817-555-0185,Lebanon
11014,Sydney,Bennett,Sydney Bennett,FEMALE,sydney23@adventure-works.com,9011 Tank Drive,2023-03-23,431-555-0156,Redmond
11015,Chloe,Young,Chloe Young,FEMALE,chloe23@adventure-works.com,244 Willow Pass Road,2023-01-18,208-555-0142,Burbank
11016,Wyatt,Hill,Wyatt Hill,MALE,wyatt32@adventure-works.com,9666 Northridge Ct.,2023-02-09,135-555-0171,Imperial Beach
11017,Shannon,Wang,Shannon Wang,FEMALE,shannon1@adventure-works.com,7330 Saddlehill Lane,2021-01-12,1 (11) 500 555-0195,Sunbury
11018,Clarence,Rai,Clarence Rai,MALE,clarence32@adventure-works.com,244 Rivewview,2021-01-17,1 (11) 500 555-0137,Bendigo
11019,Luke,Lal,Luke Lal,MALE,luke18@adventure-works.com,7832 Landing Dr,2023-02-12,262-555-0112,Langley
11020,Jordan,King,Jordan King,MALE,jordan73@adventure-works.com,7156 Rose Dr.,2022-12-29,550-555-0163,Metchosin
11021,Destiny,Wilson,Destiny Wilson,FEMALE,destiny7@adventure-works.com,8148 W. Lake Dr.,2023-01-23,622-555-0158,Beaverton
11022,Ethan,Zhang,Ethan Zhang,MALE,ethan20@adventure-works.com,1769 Nicholas Drive,2023-01-20,589-555-0185,Bellingham
11023,Seth,Edwards,Seth Edwards,MALE,seth46@adventure-works.com,4499 Valley Crest,2023-02-17,452-555-0188,Bellflower
11024,Russell,Xie,Russell Xie,MALE,russell7@adventure-works.com,8734 Oxford Place,2023-06-27,746-555-0186,Concord
11025,Alejandro,Beck,Alejandro Beck,MALE,alejandro45@adventure-works.com,2596 Franklin Canyon Road,2021-01-06,1 (11) 500 555-0178,Hawthorne
11026,Harold,Sai,Harold Sai,MALE,harold3@adventure-works.com,8211 Leeds Ct.,2021-01-23,1 (11) 500 555-0131,Goulburn
11027,Jessie,Zhao,Jessie Zhao,MALE,jessie16@adventure-works.com,213 Valencia Place,2021-01-16,1 (11) 500 555-0184,Warrnambool
11028,Jill,Jimenez,Jill Jimenez,FEMALE,jill13@adventure-works.com,9111 Rose Ann Ave,2021-01-26,1 (11) 500 555-0116,St. Leonards
11029,Jimmy,Moreno,Jimmy Moreno,MALE,jimmy9@adventure-works.com,6385 Mark Twain,2021-01-19,1 (11) 500 555-0146,Bendigo
11030,Bethany,Yuan,Bethany Yuan,FEMALE,bethany10@adventure-works.com,636 Vine Hill Way,2021-02-05,1 (11) 500 555-0182,Cloverdale
11031,Theresa,Ramos,Theresa Ramos,FEMALE,theresa13@adventure-works.com,6465 Detroit Ave.,2021-02-01,1 (11) 500 555-0195,Matraville
11032,Denise,Stone,Denise Stone,FEMALE,denise10@adventure-works.com,626 Bentley Street,2021-02-18,1 (11) 500 555-0169,Melbourne
11033,Jaime,Nath,Jaime Nath,MALE,jaime41@adventure-works.com,5927 Rainbow Dr,2021-02-15,1 (11) 500 555-0137,Milsons Point
11034,Ebony,Gonzalez,Ebony Gonzalez,FEMALE,ebony19@adventure-works.com,5167 Condor Place,2021-02-01,1 (11) 500 555-0136,North Sydney
11035,Wendy,Dominguez,Wendy Dominguez,FEMALE,wendy12@adventure-works.com,1873 Mt. Whitney Dr,2021-02-06,1 (11) 500 555-0177,Cranbourne
11036,Jennifer,Russell,Jennifer Russell,FEMALE,jennifer93@adventure-works.com,3981 Augustine Drive,2023-01-22,115-555-0183,National City
